Nome;Tipo;Rarità;Fase;PV;Ability;Mossa 1;Danno 1;Costo 1;Mossa 2;Danno 2;Costo 2;Debolezza;Resistenza;Costo ritirata;Ability effect;Effetto Mossa1;Effetto Mossa2
Aerodactyl;Fighting;Holo Rare;1;60;Prehistoric Power;Wing Attack;30;3 ANY;;;;Grass;Fighting -30;2 ANY;No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.;;
Articuno;Water;Holo Rare;Base;70;;Freeze Dry;30;3 Water;Blizzard;50;4 Water;;Fighting -30;2 ANY;;Flip a coin. If heads, the Defending Pokémon is now Paralyzed.;Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
Ditto;Normal;Holo Rare;Base;50;Transform;;;;;;;Fighting;Psychic - 30;1 ANY;If Ditto is your Active Pokémon, treat it as if it were the same card as the Defending Pokémon, including type, Hit Points, Weakness, and so on, except Ditto can't evolve, always has this Pokémon Power, and you may treat any Energy attached to Ditto as Energy of any type. Ditto isn't a copy of any other Pokémon while Ditto is Asleep, Confused, or Paralyzed.;;
Dragonite;Normal;Holo Rare;2;100;Step In;Slam;40x;4 ANY;;;;;Fighting - 30;1 ANY;Once during your turn (before your attack), if Dragonite is on your Bench, you may switch it with your Active Pokémon.;Flip 2 coins. This attack does 40 damage times the number of heads.;
Gengar;Psychic;Holo Rare;2;80;Curse;Dark Mind;30;3 Psychic;;;;;Fighting - 30;1 ANY;Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another (even if it would Knock Out the other Pokémon). This power can't be used if Gengar is Asleep, Confused, or Paralyzed.;If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.);
Haunter;Psychic;Holo Rare;1;50;Transparency;Nightmare;10;1 Psychic 1 ANY;;;;;Fighting - 30;;Whenever an attack does anything to Haunter, flip a coin. If heads, prevent all effects of that attack, including damage, done to Haunter. This power stops working while Haunter is Asleep, Confused, or Paralyzed.;The Defending Pokémon is now Asleep.;
Hitmonlee;Fighting;Holo Rare;Base;60;;Stretch Kick;;2 Fighting;High Jump Kick;50;3 Fighting;Psychic;;1 ANY;;If your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.);
Hypno;Psychic;Holo Rare;1;90;;Prophecy;;1 Psychic ;Dark Mind;30;3 Psychic;Psychic;;2 ANY;;Look at up to 3 cards from the top of either player's deck and rearrange them as you like.;If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)
Kabutops;Fighting;Holo Rare;2;60;;Sharp Sickle;30;2 Fighting;Absorb;40;4 Fighting;Grass;;2 ANY;;;Remove a number of damage counters from Kabutops equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.
Lapras;Water;Holo Rare;Base;80;;Water Gun;10+;1 Water;Confuse Ray;10;2 Water;Electric;;2 ANY;;Does 10 damage plus 10 more damage for each water energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way. ;Flip a coin. If heads, the Defending Pokémon is now Confused.
Magneton;Electric;Holo Rare;1;80;;Sonicboom;20;1 Electric 1 ANY;Selfdestruct;100;4 Electric;Fighting;;2 ANY;;Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.);Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 100 damage to itself.
Moltres;Fire;Holo Rare;Base;70;;Wildfire;;1 Fire;Dive Bomb;80;4 Fire;;Fighting - 30;2 ANY;;You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck. ;Flip a coin. If tails, this attack does nothing.
Muk;Grass;Holo Rare;1;70;Toxic Gas;Sludge;30;3 Grass;;;;Psychic;;2 ANY;Ignore all Pokémon Powers other than Toxic Gases. This power stops working while Muk is Asleep, Confused, or Paralyzed.;Flip a coin. If heads, the Defending Pokémon is now Poisoned.;
Raichu;Electric;Holo Rare;1;90;;Gigashock;30;4 Electric;;;;1 Fighting;;1 ANY;;Choose 3 of your opponent's Benched Pokémon and this attack does 10 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) If your opponent has fewer than 3 Benched Pokémon, do the damage to each of them.;
Zapdos;Electric;Holo Rare;Base;80;;Thunderstorm;40;4 Electric;;;;;Fighting - 30;2 ANY;;For each of your opponent's Benched Pokémon, flip a coin. If heads, this attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Then, Zapdos does 10 damage times the number of tails to itself.;
Aerodactyl;Fighting;Rare;1;60;Prehistoric Power;Wing Attack;30;3 ANY;;;;Grass;Fighting -30;2 ANY;No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.;;
Articuno;Water;Rare ;Base;70;;Freeze Dry;30;3 Water;Blizzard;50;4 Water;;Fighting -30;2 ANY;;Flip a coin. If heads, the Defending Pokémon is now Paralyzed.;Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
Ditto;Normal;Rare;Base;50;Transform;;;;;;;Fighting;Psychic - 30;1 ANY;If Ditto is your Active Pokémon, treat it as if it were the same card as the Defending Pokémon, including type, Hit Points, Weakness, and so on, except Ditto can't evolve, always has this Pokémon Power, and you may treat any Energy attached to Ditto as Energy of any type. Ditto isn't a copy of any other Pokémon while Ditto is Asleep, Confused, or Paralyzed.;;
Dragonite;Normal;Rare;2;100;Step In;Slam;40x;4 ANY;;;;;Fighting - 30;1 ANY;Once during your turn (before your attack), if Dragonite is on your Bench, you may switch it with your Active Pokémon.;Flip 2 coins. This attack does 40 damage times the number of heads.;
Gengar;Psychic;Rare;2;80;Curse;Dark Mind;30;3 Psychic;;;;;Fighting - 30;1 ANY;Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another (even if it would Knock Out the other Pokémon). This power can't be used if Gengar is Asleep, Confused, or Paralyzed.;If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.);
Haunter;Psychic;Rare;1;50;Transparency;Nightmare;10;1 Psychic 1 ANY;;;;;Fighting - 30;;Whenever an attack does anything to Haunter, flip a coin. If heads, prevent all effects of that attack, including damage, done to Haunter. This power stops working while Haunter is Asleep, Confused, or Paralyzed.;The Defending Pokémon is now Asleep.;
Hitmonlee;Fighting;Rare;Base;60;;Stretch Kick;;2 Fighting;High Jump Kick;50;3 Fighting;Psychic;;1 ANY;;If your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.);
Hypno;Psychic;Rare;1;90;;Prophecy;;1 Psychic ;Dark Mind;30;3 Psychic;Psychic;;2 ANY;;Look at up to 3 cards from the top of either player's deck and rearrange them as you like.;If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)
Kabutops;Fighting;Rare;2;60;;Sharp Sickle;30;2 Fighting;Absorb;40;4 Fighting;Grass;;2 ANY;;;Remove a number of damage counters from Kabutops equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.
Lapras;Water;Rare;Base;80;;Water Gun;10+;1 Water;Confuse Ray;10;2 Water;Electric;;2 ANY;;Does 10 damage plus 10 more damage for each water energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way. ;Flip a coin. If heads, the Defending Pokémon is now Confused.
Magneton;Electric;Rare;1;80;;Sonicboom;20;1 Electric 1 ANY;Selfdestruct;100;4 Electric;Fighting;;2 ANY;;Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.);Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 100 damage to itself.
Moltres;Fire;Rare;Base;70;;Wildfire;;1 Fire;Dive Bomb;80;4 Fire;;Fighting - 30;2 ANY;;You may discard any number of Fire Energy cards attached to Moltres when you use this attack. If you do, discard that many cards from the top of your opponent's deck. ;Flip a coin. If tails, this attack does nothing.
Muk;Grass;Rare;1;70;Toxic Gas;Sludge;30;3 Grass;;;;Psychic;;2 ANY;Ignore all Pokémon Powers other than Toxic Gases. This power stops working while Muk is Asleep, Confused, or Paralyzed.;Flip a coin. If heads, the Defending Pokémon is now Poisoned.;
Raichu;Electric;Rare;1;90;;Gigashock;30;4 Electric;;;;1 Fighting;;1 ANY;;Choose 3 of your opponent's Benched Pokémon and this attack does 10 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) If your opponent has fewer than 3 Benched Pokémon, do the damage to each of them.;
Zapdos;Electric;Rare;Base;80;;Thunderstorm;40;4 Electric;;;;;Fighting - 30;2 ANY;;For each of your opponent's Benched Pokémon, flip a coin. If heads, this attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Then, Zapdos does 10 damage times the number of tails to itself.;
Arbok;Grass;Uncommon;1;60;;Terror Strike;10;1 Grass;Poison Fang;20;2 Grass 1 ANY;Psychic;;2 ANY;;Flip a coin. If heads and if your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.);The Defending Pokémon is now Poisoned.
Cloyster;Water;Uncommon;1;50;;Clamp;30;2 Water;Spike Cannon;30x;2 Water;Electric;;2 ANY;;Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, this attack does nothing (not even damage).;Flip 2 coins. This attack does 30 damage times the number of heads.
Gastly;Psychic;Uncommon;Base;50;;Lick;10;1 Psychic;Energy Conversion;;2 Psychic;;Fighting - 30;;;Flip a coin. If heads, the Defending Pokémon is now Paralyzed.;Put up to 2 Energy cards from your discard pile into your hand. Gastly does 10 damage to itself.
Golbat;Grass;Uncommon;1;60;;Wing Attack;30;3 ANY;Leech Life;20;2 Grass 1 ANY;Psychic;Fighting - 30;;;;Remove a number of damage counters from Golbat equal to the damage done to the Defending Pokémon (after applying Weakness and Resistance). If Golbat has fewer damage counters than that, remove all of them.
Golduck;Water;Uncommon;1;70;;Psyshock;10;1 Psychic;Hyper Beam;20;2 Water 1 ANY;Electric;;1 ANY;;Flip a coin. If heads, the Defending Pokémon is now Paralyzed.;If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.
Golem;Fighting;Uncommon;2;80;;Avalanche;60;3 Fighting 1 ANY;Selfdestruct;100;4 Fighting;Grass;;4 ANY;;;Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Golem does 100 damage to itself.
Graveler;Fighting;Uncommon;1;60;;Harden;;2 Fighting;Rock Throw;40;2 Fighting 1 ANY;Grass;;2 ANY;;During your opponent's next turn, whenever 30 or less damage is done to Graveler (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.);
Kingler;Water;Uncommon;1;60;;Flail;10x;1 Water;Crabhammer;40;2 Water 1 ANY;Electric;;3 ANY;;Does 10 damage times the number of damage counters on Kingler.;
Magmar;Fire;Uncommon;Base;70;;Smokescreen;10;1 Fire;Smog;20;2 Fire;Water;;1 ANY;;If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.;Flip a coin. If heads, the Defending Pokémon is now Poisoned.
Omastar;Water;Uncommon;2;70;;Water Gun;20+;1 Water 1 ANY;Spike Cannon;30x;2 Water;Grass;;1 ANY;;Does 20 damage plus 10 more damage for each Water Energy attached to Omastar but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.;Flip 2 coins. This attack does 30 damage times the number of heads.
Sandslash;Fighting;Uncommon;1;70;;Slash;20;2 ANY;Fury Swipes;20x;2 Fire;Grass;Electric - 30;1 ANY;;;Flip 3 coins. This attack does 20 damage times the number of heads.
Seadra;Water;Uncommon;1;60;;Water Gun;20+;1 Water 1 ANY;Agility;20;1 Water 2 ANY;Electric;;1 ANY;;Does 20 damage plus 10 more damage for each Water Energy attached to Seadra but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.;Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Seadra.
Slowbro;Psychic;Uncommon;1;60;Strange Behaviour;Psyshock;20;2 Psychic;;;;Psychic;;1 ANY;As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to Slowbro as long as you don't Knock Out Slowbro. This power can't be used if Slowbro is Asleep, Confused, or Paralyzed.;Flip a coin. If heads, the Defending Pokémon is now Paralyzed.;
Tentacruel;Water;Uncommon;1;60;;Supersonic;;1 Water;Jellyfish Sting;10;2 Water;Electric;;;;Flip a coin. If heads, the Defending Pokémon is now Confused.;The Defending Pokémon is now Poisoned.
Weezing;Grass;Uncommon;1;60;;Smog;20;2 Grass;Selfdestruct;60;2 Grass 1 ANY;Psychic;;1 ANY;;Flip a coin. If heads, the Defending Pokémon is now Poisoned.;Does 10 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Weezing does 60 damage to itself.
Ekans;Grass;Common;Base;40;;Spit Poison;;1 Grass;Wrap;20;1 Grass 1 ANY;Psychic;;1 ANY;;Flip a coin. If heads, the Defending Pokémon is now Poisoned.;Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
Geodude;Fighting;Common;Base;50;;Stone Barrage;10x;1 Fighting 1 ANY;;;;Grass;;1 ANY;;Flip a coin until you get tails. This attack does 10 damage times the number of heads.;
Grimer;Grass;Common;Base;50;;Nasty Goo;10;1 ANY;Minimize;;1 Grass ;Psychic;;1 ANY;;Flip a coin. If heads, the Defending Pokémon is now Paralyzed.;All damage done by attacks to Grimer during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).
Horsea;Water;Common;Base;40;;Smokescreen;10;1 Water;;;;Electric;;;;If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.;
Kabuto;Fighting;Common;1;30;Kabuto Armor;Scratch;10;1 ANY;;;;Grass;;1 ANY;Whenever an attack (even your own) does damage to Kabuto (after applying Weakness and Resistance), that attack only does half the damage to Kabuto (rounded down to the nearest 10). (Any other effects of attacks still happen.) This power stops working while Kabuto is Asleep, Confused, or Paralyzed.;;
Krabby;Water;Common;Base;50;;Call for Family;;1 Water;Irongrip;20;1 Water 1 ANY;Electric;;2 ANY;;Search your deck for a Basic Pokémon named Krabby and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.);
Omanyte;Water;Common;1;40;Clairvoyance;Water Gun;10+;1 Water;;;;Grass;;1 ANY;Your opponent plays with his or her hand face up. This power stops working while Omanyte is Asleep, Confused, or Paralyzed.;Does 10 damage plus 10 more damage for each Water Energy attached to Omanyte but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.;
Psyduck;Water;Common;Base;50;;Headache;;1 Psychic;Fury Swipes;10x;1 Water;Electric;;1 ANY;;Your opponent can't play Trainer cards during his or her next turn.;Flip 3 coins. This attack does 10 damage times the number of heads.
Shellder;Water;Common;Base;30;;Supersonic;;1 Water;Hide in Shell;;1 Water;Electric;;1 ANY;;Flip a coin. If heads, the Defending Pokémon is now Confused.;Flip a coin. If heads, prevent all damage done to Shellder during your opponent's next turn. (Any other effects of attacks still happen.)
Slowpoke;Psychic;Common;Base;50;;Spacing Out;;1 ANY;Scavenge;;2 Psychic;Psychic;;1 ANY;;Flip a coin. If heads, remove a damage counter from Slowpoke. This attack can't be used if Slowpoke has no damage counters on it.;Discard 1 Psychic Energy card attached to Slowpoke in order to use this attack. Put a Trainer card from your discard pile into your hand.
Tentacool;Water;Common;Base;30;Cowardice;Acid;10;1 Water;;;;Electric;;;At any time during your turn (before your attack), you may return Tentacool to your hand. (Discard all cards attached to Tentacool.) This power can't be used the turn you put Tentacool into play or if Tentacool is Asleep, Confused, or Paralyzed.;;
Zubat;Grass;Common;Base;40;;Supersonic;;2 ANY;Leech Life;10;1 Grass 1 ANY;Psychic;Fighting - 30;;;Flip a coin. If heads, the Defending Pokémon is now Confused.;Remove a number of damage counters from Zubat equal to the damage done to the Defending Pokémon (after applying Weakness and Resistance). If Zubat has fewer damage counters than that, remove all of them.
mr. Fuji;;;;;;;;;;;;;;;;;
ricarica di energia;;;;;;;;;;;;;;;;;
gioco d'azzardo;;;;;;;;;;;;;;;;;
riciclo;;;;;;;;;;;;;;;;;
fossile misterioso;;;;;;;;;;;;;;;;;
